Brand Name,Generic Name (Salt),Strength,Dosage Form,Company Name,MRP (INR),Pack Size,Uses,Category
Ciprofloxacin SR 4270,Ciprofloxacin,20 mg,Syrup,Pfizer Ltd,31.5,Bottle of 100 ml,Urinary tract and gastrointestinal infections,Antibiotic
Thyroxine SR 4271,Thyroxine,100 mg,Syrup,Lupin Ltd,30.5,Bottle of 100 ml,Hypothyroidism,Hormone Regulator
Levofloxacin SR 4272,Levofloxacin,250 mg,Oral Suspension,Alembic Pharmaceuticals Ltd,55.5,Bottle of 200 ml,Bacterial infections including pneumonia and sinusitis,Antibiotic
Fluconazole 250 4273,Fluconazole,100 mg/5 ml,Injection,Wockhardt Ltd,93.0,Vial of 1 ml,Fungal infections,Antifungal
B-complex SR 4274,B-complex,40 mg,Cream,Abbott India Ltd,13.5,Tube of 20 gm,Vitamin B deficiency and weakness,Supplement
Risperidone XR 4275,Risperidone,150 mg,Injection,Biocon Ltd,70.0,Vial of 1 ml,Schizophrenia and behavioral disorders,Antipsychotic
Amlodipine XR 4276,Amlodipine,10 mg,Ointment,Dr. Reddy's Laboratories Ltd,15.0,Tube of 20 gm,High blood pressure and angina,Blood Pressure Regulator
Sertraline Advance 4277,Sertraline,20 mg,Ointment,Ipca Laboratories Ltd,17.5,Tube of 30 gm,Depression and anxiety disorders,Antidepressant
Metoprolol SR 4278,Metoprolol,500 mg,Capsule,Mankind Pharma Ltd,53.0,Strip of 15,"Hypertension, angina and heart failure",Blood Pressure Regulator
Calcium Plus 4279,Calcium Carbonate,150 mg,Gel,Lupin Ltd,33.0,Tube of 30 gm,Calcium deficiency and bone disorders,Supplement
Calcium Max 4280,Calcium Carbonate,150 mg,Injection,Zydus Lifesciences Ltd,91.0,Vial of 5 ml,Calcium deficiency and bone disorders,Supplement
Aspirin Max 4281,Aspirin,200 mg,Capsule,Alembic Pharmaceuticals Ltd,27.5,Strip of 30,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Iron 4282,Iron Fumarate,100 mg/5 ml,Drops,Zydus Lifesciences Ltd,57.0,Bottle of 5 ml,Iron deficiency anemia,Supplement
Salbutamol DS 4283,Salbutamol,200 mg,Oral Suspension,Ipca Laboratories Ltd,16.5,Bottle of 60 ml,Asthma and bronchospasm,Respiratory
Folic 500 4284,Folic Acid,250 mg,Oral Suspension,Dr. Reddy's Laboratories Ltd,59.0,Bottle of 100 ml,Folic acid deficiency and pregnancy support,Supplement
Levocetirizine SR 4285,Levocetirizine,50 mg,Injection,Torrent Pharmaceuticals Ltd,66.0,Vial of 2 ml,Allergic rhinitis and urticaria,Antiallergic
Clopidogrel 250 4286,Clopidogrel,20 mg,Inhaler,Wockhardt Ltd,50.5,Inhaler of 60 doses,Prevention of blood clots and stroke,Blood Thinner
Salbutamol 4287,Salbutamol,40 mg,Drops,Alembic Pharmaceuticals Ltd,39.0,Bottle of 15 ml,Asthma and bronchospasm,Respiratory
Glimipiride Forte 4288,Glimipiride,40 mg,Tablet,Sun Pharmaceutical Industries Ltd,14.0,Strip of 20,Type 2 diabetes mellitus,Antidiabetic
Clotrimazole Forte 4289,Clotrimazole,500 mg,Tablet,Abbott India Ltd,56.5,Strip of 15,Fungal skin infections,Antifungal
Levofloxacin XR 4290,Levofloxacin,20 mg/5 ml,Drops,Sanofi India Ltd,17.5,Bottle of 10 ml,Bacterial infections including pneumonia and sinusitis,Antibiotic
Aspirin 4291,Aspirin,40 mg,Injection,Alembic Pharmaceuticals Ltd,47.5,Vial of 2 ml,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Folic Max 4292,Folic Acid,100 mg/5 ml,Tablet,Wockhardt Ltd,43.0,Strip of 30,Folic acid deficiency and pregnancy support,Supplement
Hydroxychloroquine 4293,Hydroxychloroquine,400 IU,Syrup,Torrent Pharmaceuticals Ltd,30.5,Bottle of 100 ml,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Folic Advance 4294,Folic Acid,500 mg,Injection,Lupin Ltd,193.5,Vial of 5 ml,Folic acid deficiency and pregnancy support,Supplement
Vitamin 500 4295,Vitamin D3,50 mg,Gel,Ipca Laboratories Ltd,31.5,Tube of 15 gm,Vitamin D deficiency and bone health,Supplement
Atorvastatin SR 4296,Atorvastatin,150 mg,Ointment,Alkem Laboratories Ltd,20.5,Tube of 10 gm,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Sertraline 500 4297,Sertraline,250 mg/5 ml,Gel,Abbott India Ltd,36.5,Tube of 10 gm,Depression and anxiety disorders,Antidepressant
Ibuprofen Max 4298,Ibuprofen,20 mg,Cream,Alembic Pharmaceuticals Ltd,13.5,Tube of 20 gm,"Pain, inflammation and fever",Painkiller
Folic Max 4299,Folic Acid,1000 IU,Gel,Intas Pharmaceuticals Ltd,63.5,Tube of 10 gm,Folic acid deficiency and pregnancy support,Supplement
Iron 500 4300,Iron Fumarate,100 mg,Drops,Wockhardt Ltd,25.5,Bottle of 15 ml,Iron deficiency anemia,Supplement
Fluoxetine SR 4301,Fluoxetine,650 mg,Inhaler,Micro Labs Ltd,99.5,Inhaler of 200 doses,"Depression, OCD and bulimia nervosa",Antidepressant
Levofloxacin Advance 4302,Levofloxacin,500 mg,Ointment,Torrent Pharmaceuticals Ltd,60.5,Tube of 20 gm,Bacterial infections including pneumonia and sinusitis,Antibiotic
Clopidogrel DS 4303,Clopidogrel,75 mg,Capsule,Micro Labs Ltd,25.0,Strip of 10,Prevention of blood clots and stroke,Blood Thinner
Calcium Forte 4304,Calcium Carbonate,20 mg,Injection,Ipca Laboratories Ltd,56.0,Vial of 5 ml,Calcium deficiency and bone disorders,Supplement
Tramadol XR 4305,Tramadol,400 IU,Inhaler,Intas Pharmaceuticals Ltd,52.0,Inhaler of 120 doses,Moderate to severe pain,Painkiller
Ciprofloxacin 4306,Ciprofloxacin,250 mg,Ointment,Wockhardt Ltd,31.0,Tube of 20 gm,Urinary tract and gastrointestinal infections,Antibiotic
Risperidone Max 4307,Risperidone,40 mg,Inhaler,Alkem Laboratories Ltd,41.0,Inhaler of 200 doses,Schizophrenia and behavioral disorders,Antipsychotic
Fluconazole 500 4308,Fluconazole,400 IU,Gel,Lupin Ltd,23.0,Tube of 15 gm,Fungal infections,Antifungal
Diclofenac 4309,Diclofenac,40 mg,Tablet,Micro Labs Ltd,19.5,Strip of 15,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Clopidogrel 500 4310,Clopidogrel,200 mg,Capsule,Alkem Laboratories Ltd,22.0,Strip of 30,Prevention of blood clots and stroke,Blood Thinner
Omeprazole Plus 4311,Omeprazole,250 mg,Tablet,Lupin Ltd,58.0,Strip of 20,"Acidity, peptic ulcer and GERD",Acidity Regulator
Insulin Advance 4312,Insulin Glargine,5 mg,Gel,Mankind Pharma Ltd,24.5,Tube of 15 gm,Long-acting insulin for diabetes mellitus,Antidiabetic
Tramadol XR 4313,Tramadol,40 mg,Capsule,Jubilant Pharmova Ltd,12.5,Strip of 20,Moderate to severe pain,Painkiller
Levofloxacin 250 4314,Levofloxacin,1000 IU,Gel,Abbott India Ltd,41.5,Tube of 15 gm,Bacterial infections including pneumonia and sinusitis,Antibiotic
Doxycycline Plus 4315,Doxycycline,400 IU,Injection,Mankind Pharma Ltd,49.5,Vial of 5 ml,Various bacterial infections including acne and respiratory infections,Antibiotic
Nimesulide Advance 4316,Nimesulide,250 mg/5 ml,Ointment,Alkem Laboratories Ltd,40.0,Tube of 15 gm,Pain and inflammation,General Use
Losartan 500 4317,Losartan,200 mg,Syrup,Pfizer Ltd,29.0,Bottle of 150 ml,High blood pressure and heart failure,Blood Pressure Regulator
Gliclazide 500 4318,Gliclazide,75 mg,Inhaler,Wockhardt Ltd,114.5,Inhaler of 60 doses,Type 2 diabetes mellitus,Antidiabetic
Nimesulide DS 4319,Nimesulide,20 mg/5 ml,Cream,Cipla Ltd,22.0,Tube of 20 gm,Pain and inflammation,General Use
Hydroxychloroquine DS 4320,Hydroxychloroquine,10 mg,Capsule,Alembic Pharmaceuticals Ltd,15.0,Strip of 20,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Iron XR 4321,Iron Fumarate,75 mg,Tablet,Sun Pharmaceutical Industries Ltd,18.0,Strip of 30,Iron deficiency anemia,Supplement
Budesonide XR 4322,Budesonide,650 mg,Gel,Intas Pharmaceuticals Ltd,60.0,Tube of 30 gm,Asthma and inflammatory bowel disease,Respiratory
Risperidone SR 4323,Risperidone,75 mg,Oral Suspension,Lupin Ltd,35.5,Bottle of 150 ml,Schizophrenia and behavioral disorders,Antipsychotic
Salbutamol Forte 4324,Salbutamol,250 mg,Ointment,Ipca Laboratories Ltd,35.0,Tube of 20 gm,Asthma and bronchospasm,Respiratory
Levofloxacin XR 4325,Levofloxacin,250 mg,Cream,Lupin Ltd,21.0,Tube of 30 gm,Bacterial infections including pneumonia and sinusitis,Antibiotic
Pantoprazole 500 4326,Pantoprazole,500 mg,Tablet,Cadila Pharmaceuticals Ltd,67.0,Strip of 10,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Tramadol 4327,Tramadol,650 mg,Tablet,Cadila Pharmaceuticals Ltd,86.5,Strip of 30,Moderate to severe pain,Painkiller
Salbutamol SR 4328,Salbutamol,250 mg,Injection,Wockhardt Ltd,103.0,Vial of 2 ml,Asthma and bronchospasm,Respiratory
Thyroxine 250 4329,Thyroxine,150 mg,Ointment,Lupin Ltd,35.5,Tube of 15 gm,Hypothyroidism,Hormone Regulator
Omeprazole Advance 4330,Omeprazole,5 mg,Ointment,Jubilant Pharmova Ltd,16.5,Tube of 30 gm,"Acidity, peptic ulcer and GERD",Acidity Regulator
Sertraline 250 4331,Sertraline,200 mg,Oral Suspension,Alkem Laboratories Ltd,27.0,Bottle of 100 ml,Depression and anxiety disorders,Antidepressant
Levofloxacin 250 4332,Levofloxacin,1000 IU,Ointment,Micro Labs Ltd,32.0,Tube of 10 gm,Bacterial infections including pneumonia and sinusitis,Antibiotic
Insulin SR 4333,Insulin Glargine,50 mg,Syrup,Jubilant Pharmova Ltd,30.5,Bottle of 60 ml,Long-acting insulin for diabetes mellitus,Antidiabetic
Montelukast Forte 4334,Montelukast,200 mg,Oral Suspension,Lupin Ltd,30.5,Bottle of 60 ml,Asthma and allergic rhinitis,Respiratory
Metoprolol XR 4335,Metoprolol,250 mg,Oral Suspension,Micro Labs Ltd,75.5,Bottle of 150 ml,"Hypertension, angina and heart failure",Blood Pressure Regulator
Ibuprofen Forte 4336,Ibuprofen,75 mg,Gel,Micro Labs Ltd,24.5,Tube of 15 gm,"Pain, inflammation and fever",Painkiller
Aspirin Plus 4337,Aspirin,100 mg/5 ml,Gel,Cadila Pharmaceuticals Ltd,36.5,Tube of 20 gm,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Thyroxine 4338,Thyroxine,10 mg,Tablet,Sun Pharmaceutical Industries Ltd,28.5,Strip of 15,Hypothyroidism,Hormone Regulator
Levofloxacin DS 4339,Levofloxacin,200 mg,Cream,Jubilant Pharmova Ltd,16.0,Tube of 10 gm,Bacterial infections including pneumonia and sinusitis,Antibiotic
Glimipiride 250 4340,Glimipiride,150 mg,Syrup,Glenmark Pharmaceuticals Ltd,31.5,Bottle of 200 ml,Type 2 diabetes mellitus,Antidiabetic
Budesonide SR 4341,Budesonide,500 mg,Injection,Torrent Pharmaceuticals Ltd,219.5,Vial of 10 ml,Asthma and inflammatory bowel disease,Respiratory
Calcium DS 4342,Calcium Carbonate,650 mg,Inhaler,Dr. Reddy's Laboratories Ltd,191.0,Inhaler of 100 doses,Calcium deficiency and bone disorders,Supplement
Ibuprofen 500 4343,Ibuprofen,40 mg,Capsule,Glenmark Pharmaceuticals Ltd,27.5,Strip of 30,"Pain, inflammation and fever",Painkiller
Atorvastatin Advance 4344,Atorvastatin,400 IU,Capsule,Jubilant Pharmova Ltd,26.0,Strip of 15,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Doxycycline 500 4345,Doxycycline,75 mg,Inhaler,Sanofi India Ltd,79.0,Inhaler of 120 doses,Various bacterial infections including acne and respiratory infections,Antibiotic
Hydroxychloroquine Forte 4346,Hydroxychloroquine,20 mg/5 ml,Injection,Pfizer Ltd,39.0,Vial of 5 ml,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Metoprolol SR 4347,Metoprolol,500 mg,Injection,Lupin Ltd,104.5,Vial of 5 ml,"Hypertension, angina and heart failure",Blood Pressure Regulator
Atorvastatin Forte 4348,Atorvastatin,20 mg/5 ml,Oral Suspension,Cadila Pharmaceuticals Ltd,28.0,Bottle of 60 ml,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Sertraline Forte 4349,Sertraline,50 mg,Ointment,Cipla Ltd,27.5,Tube of 10 gm,Depression and anxiety disorders,Antidepressant
Fluoxetine 250 4350,Fluoxetine,10 mg,Inhaler,Cadila Pharmaceuticals Ltd,55.5,Inhaler of 60 doses,"Depression, OCD and bulimia nervosa",Antidepressant
Fluconazole Max 4351,Fluconazole,400 IU,Injection,Dr. Reddy's Laboratories Ltd,49.0,Vial of 2 ml,Fungal infections,Antifungal
Ibuprofen SR 4352,Ibuprofen,500 mg,Tablet,Intas Pharmaceuticals Ltd,44.5,Strip of 15,"Pain, inflammation and fever",Painkiller
Aspirin Plus 4353,Aspirin,250 mg,Injection,Lupin Ltd,78.5,Vial of 2 ml,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Fluconazole Forte 4354,Fluconazole,20 mg/5 ml,Oral Suspension,Sun Pharmaceutical Industries Ltd,15.0,Bottle of 200 ml,Fungal infections,Antifungal
Folic 4355,Folic Acid,250 mg/5 ml,Injection,Wockhardt Ltd,133.0,Vial of 1 ml,Folic acid deficiency and pregnancy support,Supplement
Vitamin SR 4356,Vitamin D3,100 mg/5 ml,Gel,Lupin Ltd,20.5,Tube of 30 gm,Vitamin D deficiency and bone health,Supplement
Ciprofloxacin XR 4357,Ciprofloxacin,200 mg,Syrup,Sun Pharmaceutical Industries Ltd,25.5,Bottle of 200 ml,Urinary tract and gastrointestinal infections,Antibiotic
Fluoxetine Plus 4358,Fluoxetine,100 mg/5 ml,Capsule,Glenmark Pharmaceuticals Ltd,30.0,Strip of 10,"Depression, OCD and bulimia nervosa",Antidepressant
Atenolol 250 4359,Atenolol,1000 IU,Drops,Ipca Laboratories Ltd,87.0,Bottle of 15 ml,High blood pressure and chest pain,Blood Pressure Regulator
Clopidogrel Advance 4360,Clopidogrel,1000 IU,Capsule,Sanofi India Ltd,43.5,Strip of 15,Prevention of blood clots and stroke,Blood Thinner
Tramadol 500 4361,Tramadol,20 mg/5 ml,Syrup,Mankind Pharma Ltd,35.0,Bottle of 150 ml,Moderate to severe pain,Painkiller
B-complex Plus 4362,B-complex,250 mg/5 ml,Cream,Mankind Pharma Ltd,37.5,Tube of 10 gm,Vitamin B deficiency and weakness,Supplement
Folic Advance 4363,Folic Acid,150 mg,Tablet,Zydus Lifesciences Ltd,35.5,Strip of 30,Folic acid deficiency and pregnancy support,Supplement
Telmisartan XR 4364,Telmisartan,250 mg,Inhaler,Biocon Ltd,124.5,Inhaler of 100 doses,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Clopidogrel Advance 4365,Clopidogrel,150 mg,Syrup,Lupin Ltd,39.5,Bottle of 60 ml,Prevention of blood clots and stroke,Blood Thinner
Omeprazole SR 4366,Omeprazole,500 mg,Drops,Pfizer Ltd,88.0,Bottle of 5 ml,"Acidity, peptic ulcer and GERD",Acidity Regulator
Folic 250 4367,Folic Acid,50 mg,Drops,Biocon Ltd,40.0,Bottle of 5 ml,Folic acid deficiency and pregnancy support,Supplement
Insulin 500 4368,Insulin Glargine,20 mg,Injection,Lupin Ltd,76.0,Vial of 1 ml,Long-acting insulin for diabetes mellitus,Antidiabetic
Formoterol 500 4369,Formoterol,20 mg/5 ml,Oral Suspension,Torrent Pharmaceuticals Ltd,39.0,Bottle of 200 ml,Asthma and COPD,Respiratory
Paracetamol 250 4370,Paracetamol,20 mg,Syrup,Lupin Ltd,29.5,Bottle of 60 ml,Fever and mild to moderate pain relief,Painkiller
Clotrimazole Max 4371,Clotrimazole,250 mg/5 ml,Drops,Pfizer Ltd,55.5,Bottle of 5 ml,Fungal skin infections,Antifungal
Formoterol SR 4372,Formoterol,10 mg,Oral Suspension,Pfizer Ltd,21.0,Bottle of 150 ml,Asthma and COPD,Respiratory
Cetirizine 250 4373,Cetirizine,500 mg,Inhaler,Sun Pharmaceutical Industries Ltd,144.5,Inhaler of 100 doses,Allergic conditions and sneezing,Antiallergic
Aspirin 500 4374,Aspirin,400 IU,Capsule,Mankind Pharma Ltd,28.5,Strip of 30,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Salbutamol 4375,Salbutamol,200 mg,Oral Suspension,Lupin Ltd,37.0,Bottle of 60 ml,Asthma and bronchospasm,Respiratory
Clopidogrel SR 4376,Clopidogrel,500 mg,Tablet,Torrent Pharmaceuticals Ltd,44.5,Strip of 10,Prevention of blood clots and stroke,Blood Thinner
Salbutamol Advance 4377,Salbutamol,200 mg,Ointment,Ipca Laboratories Ltd,20.5,Tube of 10 gm,Asthma and bronchospasm,Respiratory
Amlodipine XR 4378,Amlodipine,250 mg/5 ml,Ointment,Lupin Ltd,48.0,Tube of 10 gm,High blood pressure and angina,Blood Pressure Regulator
Gliclazide 500 4379,Gliclazide,10 mg,Tablet,Cipla Ltd,18.0,Strip of 30,Type 2 diabetes mellitus,Antidiabetic
Azithromycin DS 4380,Azithromycin,75 mg,Inhaler,Dr. Reddy's Laboratories Ltd,64.0,Inhaler of 200 doses,Bacterial infections including respiratory and skin infections,Antibiotic
Paracetamol Max 4381,Paracetamol,500 mg,Ointment,Sanofi India Ltd,54.5,Tube of 15 gm,Fever and mild to moderate pain relief,Painkiller
Alprazolam Forte 4382,Alprazolam,150 mg,Drops,Alkem Laboratories Ltd,39.5,Bottle of 15 ml,Anxiety and panic disorders,Anxiolytic
Telmisartan XR 4383,Telmisartan,250 mg/5 ml,Capsule,Sanofi India Ltd,38.5,Strip of 30,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Azithromycin Forte 4384,Azithromycin,20 mg/5 ml,Tablet,Intas Pharmaceuticals Ltd,16.0,Strip of 30,Bacterial infections including respiratory and skin infections,Antibiotic
Sertraline Forte 4385,Sertraline,500 mg,Oral Suspension,Wockhardt Ltd,48.5,Bottle of 100 ml,Depression and anxiety disorders,Antidepressant
Levocetirizine 500 4386,Levocetirizine,100 mg/5 ml,Injection,Cadila Pharmaceuticals Ltd,113.5,Vial of 10 ml,Allergic rhinitis and urticaria,Antiallergic
Telmisartan Max 4387,Telmisartan,650 mg,Ointment,Sun Pharmaceutical Industries Ltd,54.5,Tube of 10 gm,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Budesonide Plus 4388,Budesonide,250 mg/5 ml,Injection,Alkem Laboratories Ltd,114.0,Vial of 5 ml,Asthma and inflammatory bowel disease,Respiratory
Ciprofloxacin DS 4389,Ciprofloxacin,150 mg,Tablet,Mankind Pharma Ltd,29.5,Strip of 30,Urinary tract and gastrointestinal infections,Antibiotic
Formoterol Max 4390,Formoterol,200 mg,Inhaler,Biocon Ltd,70.0,Inhaler of 200 doses,Asthma and COPD,Respiratory
Omeprazole XR 4391,Omeprazole,650 mg,Capsule,Cipla Ltd,87.0,Strip of 30,"Acidity, peptic ulcer and GERD",Acidity Regulator
Folic Max 4392,Folic Acid,250 mg/5 ml,Injection,Pfizer Ltd,127.5,Vial of 5 ml,Folic acid deficiency and pregnancy support,Supplement
Vitamin SR 4393,Vitamin D3,250 mg/5 ml,Ointment,Torrent Pharmaceuticals Ltd,37.0,Tube of 30 gm,Vitamin D deficiency and bone health,Supplement
Diclofenac Forte 4394,Diclofenac,20 mg/5 ml,Syrup,Biocon Ltd,22.5,Bottle of 150 ml,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Metoprolol 4395,Metoprolol,10 mg,Tablet,Biocon Ltd,22.0,Strip of 20,"Hypertension, angina and heart failure",Blood Pressure Regulator
Sertraline 250 4396,Sertraline,1000 IU,Cream,Pfizer Ltd,30.5,Tube of 30 gm,Depression and anxiety disorders,Antidepressant
Ciprofloxacin Plus 4397,Ciprofloxacin,20 mg,Inhaler,Alembic Pharmaceuticals Ltd,41.0,Inhaler of 100 doses,Urinary tract and gastrointestinal infections,Antibiotic
Vitamin Advance 4398,Vitamin D3,400 IU,Drops,Cipla Ltd,34.0,Bottle of 10 ml,Vitamin D deficiency and bone health,Supplement
Iron 500 4399,Iron Fumarate,250 mg/5 ml,Gel,Micro Labs Ltd,34.0,Tube of 15 gm,Iron deficiency anemia,Supplement
Salbutamol 250 4400,Salbutamol,100 mg/5 ml,Inhaler,Torrent Pharmaceuticals Ltd,61.5,Inhaler of 200 doses,Asthma and bronchospasm,Respiratory
Budesonide Plus 4401,Budesonide,250 mg/5 ml,Syrup,Dr. Reddy's Laboratories Ltd,33.0,Bottle of 200 ml,Asthma and inflammatory bowel disease,Respiratory
Alprazolam DS 4402,Alprazolam,200 mg,Oral Suspension,Lupin Ltd,29.0,Bottle of 200 ml,Anxiety and panic disorders,Anxiolytic
Levocetirizine SR 4403,Levocetirizine,250 mg,Syrup,Alembic Pharmaceuticals Ltd,78.5,Bottle of 100 ml,Allergic rhinitis and urticaria,Antiallergic
Atenolol Forte 4404,Atenolol,20 mg,Oral Suspension,Zydus Lifesciences Ltd,32.0,Bottle of 100 ml,High blood pressure and chest pain,Blood Pressure Regulator
Azithromycin Advance 4405,Azithromycin,10 mg,Syrup,Micro Labs Ltd,38.0,Bottle of 150 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Metoprolol 4406,Metoprolol,100 mg,Cream,Sanofi India Ltd,34.0,Tube of 30 gm,"Hypertension, angina and heart failure",Blood Pressure Regulator
Salbutamol 250 4407,Salbutamol,5 mg,Injection,Sun Pharmaceutical Industries Ltd,60.5,Vial of 2 ml,Asthma and bronchospasm,Respiratory
Cetirizine 250 4408,Cetirizine,250 mg/5 ml,Ointment,Jubilant Pharmova Ltd,29.5,Tube of 15 gm,Allergic conditions and sneezing,Antiallergic
Formoterol SR 4409,Formoterol,500 mg,Injection,Torrent Pharmaceuticals Ltd,141.5,Vial of 10 ml,Asthma and COPD,Respiratory
Olanzapine Max 4410,Olanzapine,250 mg,Tablet,Sanofi India Ltd,30.0,Strip of 20,Schizophrenia and bipolar disorder,Antipsychotic
Atenolol Forte 4411,Atenolol,400 IU,Drops,Abbott India Ltd,17.5,Bottle of 15 ml,High blood pressure and chest pain,Blood Pressure Regulator
Hydroxychloroquine DS 4412,Hydroxychloroquine,100 mg,Drops,Intas Pharmaceuticals Ltd,36.0,Bottle of 10 ml,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Diclofenac Forte 4413,Diclofenac,100 mg,Drops,Abbott India Ltd,59.0,Bottle of 10 ml,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Alprazolam 500 4414,Alprazolam,50 mg,Injection,Pfizer Ltd,105.0,Vial of 10 ml,Anxiety and panic disorders,Anxiolytic
Clotrimazole SR 4415,Clotrimazole,1000 IU,Cream,Cadila Pharmaceuticals Ltd,48.0,Tube of 15 gm,Fungal skin infections,Antifungal
Cefixime Plus 4416,Cefixime,50 mg,Oral Suspension,Glenmark Pharmaceuticals Ltd,32.0,Bottle of 60 ml,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Insulin 500 4417,Insulin Aspart,500 mg,Tablet,Micro Labs Ltd,63.5,Strip of 30,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Montelukast XR 4418,Montelukast,50 mg,Inhaler,Jubilant Pharmova Ltd,87.5,Inhaler of 200 doses,Asthma and allergic rhinitis,Respiratory
Ibuprofen Plus 4419,Ibuprofen,400 IU,Drops,Alkem Laboratories Ltd,21.5,Bottle of 5 ml,"Pain, inflammation and fever",Painkiller
Clopidogrel DS 4420,Clopidogrel,200 mg,Inhaler,Alembic Pharmaceuticals Ltd,59.0,Inhaler of 60 doses,Prevention of blood clots and stroke,Blood Thinner
Insulin Max 4421,Insulin Aspart,20 mg/5 ml,Inhaler,Mankind Pharma Ltd,35.5,Inhaler of 60 doses,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Losartan SR 4422,Losartan,20 mg,Oral Suspension,Jubilant Pharmova Ltd,27.5,Bottle of 200 ml,High blood pressure and heart failure,Blood Pressure Regulator
Paracetamol 4423,Paracetamol,150 mg,Tablet,Dr. Reddy's Laboratories Ltd,20.5,Strip of 30,Fever and mild to moderate pain relief,Painkiller
Clopidogrel 4424,Clopidogrel,500 mg,Ointment,Torrent Pharmaceuticals Ltd,36.5,Tube of 15 gm,Prevention of blood clots and stroke,Blood Thinner
Risperidone 500 4425,Risperidone,500 mg,Tablet,Wockhardt Ltd,48.0,Strip of 20,Schizophrenia and behavioral disorders,Antipsychotic
Metformin XR 4426,Metformin,40 mg,Cream,Ipca Laboratories Ltd,19.5,Tube of 10 gm,Type 2 diabetes mellitus,Antidiabetic
Azithromycin DS 4427,Azithromycin,20 mg/5 ml,Injection,Alembic Pharmaceuticals Ltd,73.5,Vial of 5 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Nimesulide DS 4428,Nimesulide,650 mg,Tablet,Pfizer Ltd,54.5,Strip of 30,Pain and inflammation,General Use
Telmisartan Forte 4429,Telmisartan,20 mg,Injection,Cipla Ltd,73.5,Vial of 10 ml,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Azithromycin SR 4430,Azithromycin,150 mg,Gel,Mankind Pharma Ltd,36.0,Tube of 15 gm,Bacterial infections including respiratory and skin infections,Antibiotic
Cetirizine XR 4431,Cetirizine,200 mg,Tablet,Ipca Laboratories Ltd,13.0,Strip of 15,Allergic conditions and sneezing,Antiallergic
Fluoxetine SR 4432,Fluoxetine,10 mg,Drops,Sanofi India Ltd,32.5,Bottle of 5 ml,"Depression, OCD and bulimia nervosa",Antidepressant
Calcium 500 4433,Calcium Carbonate,500 mg,Tablet,Intas Pharmaceuticals Ltd,56.5,Strip of 15,Calcium deficiency and bone disorders,Supplement
Amlodipine Plus 4434,Amlodipine,20 mg/5 ml,Syrup,Wockhardt Ltd,21.5,Bottle of 150 ml,High blood pressure and angina,Blood Pressure Regulator
Glimipiride Plus 4435,Glimipiride,250 mg/5 ml,Capsule,Sun Pharmaceutical Industries Ltd,34.5,Strip of 10,Type 2 diabetes mellitus,Antidiabetic
Salbutamol XR 4436,Salbutamol,400 IU,Cream,Micro Labs Ltd,20.0,Tube of 10 gm,Asthma and bronchospasm,Respiratory
B-complex Advance 4437,B-complex,200 mg,Syrup,Dr. Reddy's Laboratories Ltd,18.5,Bottle of 60 ml,Vitamin B deficiency and weakness,Supplement
Clotrimazole Forte 4438,Clotrimazole,200 mg,Syrup,Torrent Pharmaceuticals Ltd,20.5,Bottle of 100 ml,Fungal skin infections,Antifungal
Salbutamol Advance 4439,Salbutamol,100 mg,Gel,Intas Pharmaceuticals Ltd,29.5,Tube of 15 gm,Asthma and bronchospasm,Respiratory
Alprazolam DS 4440,Alprazolam,150 mg,Gel,Ipca Laboratories Ltd,28.5,Tube of 10 gm,Anxiety and panic disorders,Anxiolytic
Doxycycline Plus 4441,Doxycycline,200 mg,Drops,Abbott India Ltd,17.0,Bottle of 5 ml,Various bacterial infections including acne and respiratory infections,Antibiotic
Formoterol Advance 4442,Formoterol,500 mg,Gel,Mankind Pharma Ltd,37.5,Tube of 10 gm,Asthma and COPD,Respiratory
